CAMPAÑA FINAL;MES;BASE;Altas;Ingresos
ABAI Masivo;1/10/2024;Portabilidad Pospago;168; $ 5.631.360 
ABAI Masivo;1/11/2024;Portabilidad Pospago;155; $ 5.195.600 
ABAI Masivo;1/12/2024;Portabilidad Pospago;174; $ 5.832.480 
ABAI Masivo;1/01/2024;Servicios Fijo;616; $ 18.099.928 
ABAI Masivo;1/02/2024;Servicios Fijo;587; $ 17.247.821 
ABAI Masivo;1/03/2024;Servicios Fijo;478; $ 14.045.074 
ABAI Masivo;1/04/2024;Servicios Fijo;587; $ 17.247.821 
ABAI Masivo;1/05/2024;Servicios Fijo;526; $ 15.455.458 
ABAI Masivo;1/06/2024;Servicios Fijo;411; $ 12.076.413 
ABAI Masivo;1/07/2024;Servicios Fijo;271; $ 7.962.793 
ABAI Masivo;1/08/2024;Servicios Fijo;242; $ 7.110.686 
ABAI Masivo;1/09/2024;Servicios Fijo;218; $ 6.405.494 
ABAI Masivo;1/10/2024;Servicios Fijo;299; $ 8.785.517 
ABAI Masivo;1/11/2024;Servicios Fijo;292; $ 8.579.836 
ABAI Masivo;1/12/2024;Servicios Fijo;275; $ 8.080.325 
ABAI Masivo;1/01/2024;Tecnología;154; $ 40.004.749 
ABAI Masivo;1/02/2024;Tecnología;134; $ 34.808.204 
ABAI Masivo;1/03/2024;Tecnología;127; $ 33.054.437 
ABAI Masivo;1/04/2024;Tecnología;94; $ 24.499.124 
ABAI Masivo;1/05/2024;Tecnología;81; $ 21.037.348 
ABAI Masivo;1/06/2024;Tecnología;81; $ 20.993.813 
ABAI Masivo;1/07/2024;Tecnología;77; $ 20.078.024 
ABAI Masivo;1/08/2024;Tecnología;69; $ 17.946.024 
ABAI Masivo;1/09/2024;Tecnología;66; $ 17.255.792 
ABAI Masivo;1/10/2024;Tecnología;66; $ 17.200.000 
ABAI Masivo;1/11/2024;Tecnología;68; $ 17.700.000 
ABAI Masivo;1/12/2024;Tecnología;69; $ 17.900.000 
ABAI Masivo;1/01/2024;Terminales;106; $ 127.015.015 
ABAI Masivo;1/02/2024;Terminales;99; $ 118.167.417 
ABAI Masivo;1/03/2024;Terminales;105; $ 125.216.412 
ABAI Masivo;1/04/2024;Terminales;122; $ 145.963.580 
ABAI Masivo;1/05/2024;Terminales;126; $ 151.119.236 
ABAI Masivo;1/06/2024;Terminales;114; $ 136.372.448 
ABAI Masivo;1/07/2024;Terminales;115; $ 137.800.000 
ABAI Masivo;1/08/2024;Terminales;115; $ 137.800.000 
ABAI Masivo;1/09/2024;Terminales;111; $ 132.500.000 
ABAI Masivo;1/10/2024;Terminales;109; $ 130.000.000 
ABAI Masivo;1/11/2024;Terminales;109; $ 130.000.000 
ABAI Masivo;1/12/2024;Terminales;123; $ 147.500.000 
ABAI Masivo;1/01/2024;UG Fijo;681; $ 10.893.960 
ABAI Masivo;1/02/2024;UG Fijo;594; $ 9.510.600 
ABAI Masivo;1/03/2024;UG Fijo;583; $ 9.328.000 
ABAI Masivo;1/04/2024;UG Fijo;677; $ 10.831.709 
ABAI Masivo;1/05/2024;UG Fijo;607; $ 9.711.187 
ABAI Masivo;1/06/2024;UG Fijo;607; $ 9.711.187 
ABAI Masivo;1/07/2024;UG Fijo;607; $ 9.711.187 
ABAI Masivo;1/08/2024;UG Fijo;464; $ 9.711.187 
ABAI Masivo;1/09/2024;UG Fijo;446; $ 7.891.920 
ABAI Masivo;1/10/2024;UG Fijo;446; $ 7.140.000 
ABAI Masivo;1/11/2024;UG Fijo;446; $ 7.140.000 
ABAI Masivo;1/12/2024;UG Fijo;446; $ 7.140.000 
ABAI Masivo;1/01/2024;UG Móvil;369; $ 3.767.978 
ABAI Masivo;1/02/2024;UG Móvil;337; $ 3.437.500 
ABAI Masivo;1/03/2024;UG Móvil;343; $ 3.500.000 
ABAI Masivo;1/04/2024;UG Móvil;407; $ 4.156.667 
ABAI Masivo;1/05/2024;UG Móvil;365; $ 3.726.667 
ABAI Masivo;1/06/2024;UG Móvil;365; $ 3.726.667 
ABAI Masivo;1/07/2024;UG Móvil;560; $ 5.720.000 
ABAI Masivo;1/08/2024;UG Móvil;535; $ 5.460.000 
ABAI Masivo;1/09/2024;UG Móvil;514; $ 5.250.000 
ABAI Masivo;1/10/2024;UG Móvil;514; $ 5.250.000 
ABAI Masivo;1/11/2024;UG Móvil;514; $ 5.250.000 
ABAI Masivo;1/12/2024;UG Móvil;514; $ 5.250.000 
ABAI Masivo;1/01/2024;Ultra WiFi;2404; $ 360.042.741 
ABAI Masivo;1/02/2024;Ultra WiFi;2092; $ 313.273.838 
ABAI Masivo;1/03/2024;Ultra WiFi;1987; $ 297.489.934 
ABAI Masivo;1/04/2024;Ultra WiFi;1472; $ 220.492.112 
ABAI Masivo;1/05/2024;Ultra WiFi;1264; $ 189.336.135 
ABAI Masivo;1/06/2024;Ultra WiFi;1262; $ 188.944.317 
ABAI Masivo;1/07/2024;Ultra WiFi;1207; $ 180.702.215 
ABAI Masivo;1/08/2024;Ultra WiFi;1078; $ 161.514.215 
ABAI Masivo;1/09/2024;Ultra WiFi;942; $ 155.302.129 
ABAI Masivo;1/10/2024;Ultra WiFi;939; $ 154.800.000 
ABAI Masivo;1/11/2024;Ultra WiFi;966; $ 159.300.000 
ABAI Masivo;1/12/2024;Ultra WiFi;977; $ 161.100.000 
ABAI Proactivo;1/01/2024;Adicionales;208; $ 3.623.984 
ABAI Proactivo;1/02/2024;Adicionales;471; $ 8.206.233 
ABAI Proactivo;1/03/2024;Adicionales;302; $ 5.261.746 
ABAI Proactivo;1/04/2024;Adicionales;330; $ 5.749.590 
ABAI Proactivo;1/05/2024;Adicionales;365; $ 6.359.395 
ABAI Proactivo;1/06/2024;Adicionales;457; $ 7.962.311 
ABAI Proactivo;1/07/2024;Adicionales;700; $ 12.196.100 
ABAI Proactivo;1/08/2024;Adicionales;500; $ 8.711.500 
ABAI Proactivo;1/09/2024;Adicionales;720; $ 12.544.560 
ABAI Proactivo;1/10/2024;Adicionales;780; $ 13.589.940 
ABAI Proactivo;1/11/2024;Adicionales;560; $ 9.756.880 
ABAI Proactivo;1/12/2024;Adicionales;561; $ 9.774.303 
ABAI Proactivo;1/01/2024;Convergencia Fijo;5; $ -   
ABAI Proactivo;1/02/2024;Convergencia Fijo;13; $ -   
ABAI Proactivo;1/03/2024;Convergencia Fijo;11; $ -   
ABAI Proactivo;1/04/2024;Convergencia Fijo;12; $ -   
ABAI Proactivo;1/05/2024;Convergencia Fijo;10; $ -   
ABAI Proactivo;1/06/2024;Convergencia Fijo;8; $ -   
ABAI Proactivo;1/07/2024;Convergencia Fijo;4; $ -   
ABAI Proactivo;1/08/2024;Convergencia Fijo;1; $ -   
ABAI Proactivo;1/09/2024;Convergencia Fijo;1; $ -   
ABAI Proactivo;1/10/2024;Convergencia Fijo;1; $ -   
ABAI Proactivo;1/11/2024;Convergencia Fijo;1; $ -   
ABAI Proactivo;1/12/2024;Convergencia Fijo;1; $ -   
ABAI Proactivo;1/03/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/04/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/05/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/06/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/07/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/09/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/10/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/11/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/12/2024;Convergencia Móvil;0; $ -   
ABAI Proactivo;1/11/2024;Habilitador Internet;15; $ 1.433.028 
ABAI Proactivo;1/12/2024;Habilitador Internet;14; $ -   
ABAI Proactivo;1/03/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/04/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/05/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/06/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/07/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/08/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/09/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/10/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/11/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/12/2024;Línea Nueva;0; $ -   
ABAI Proactivo;1/03/2024;Migraciones;0; $ -   
ABAI Proactivo;1/04/2024;Migraciones;0; $ -   
ABAI Proactivo;1/05/2024;Migraciones;0; $ -   
ABAI Proactivo;1/06/2024;Migraciones;0; $ -   
ABAI Proactivo;1/07/2024;Migraciones;0; $ -   
ABAI Proactivo;1/08/2024;Migraciones;0; $ -   
ABAI Proactivo;1/09/2024;Migraciones;0; $ -   
ABAI Proactivo;1/10/2024;Migraciones;0; $ -   
ABAI Proactivo;1/11/2024;Migraciones;0; $ -   
ABAI Proactivo;1/12/2024;Migraciones;0; $ -   
ABAI Proactivo;1/03/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/04/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/05/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/06/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/07/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/08/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/09/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/10/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/11/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/12/2024;Portabilidad Pospago;0; $ -   
ABAI Proactivo;1/01/2024;Servicios Fijo;44; $ 1.292.852 
ABAI Proactivo;1/02/2024;Servicios Fijo;107; $ 3.143.981 
ABAI Proactivo;1/03/2024;Servicios Fijo;74; $ 2.174.342 
ABAI Proactivo;1/04/2024;Servicios Fijo;84; $ 2.468.172 
ABAI Proactivo;1/05/2024;Servicios Fijo;66; $ 1.939.278 
ABAI Proactivo;1/06/2024;Servicios Fijo;40; $ 1.175.320 
ABAI Proactivo;1/07/2024;Servicios Fijo;25; $ 734.575 
ABAI Proactivo;1/08/2024;Servicios Fijo;30; $ 881.490 
ABAI Proactivo;1/09/2024;Servicios Fijo;30; $ 881.490 
ABAI Proactivo;1/10/2024;Servicios Fijo;50; $ 1.469.150 
ABAI Proactivo;1/11/2024;Servicios Fijo;48; $ 1.410.384 
ABAI Proactivo;1/12/2024;Servicios Fijo;20; $ 587.660 
ABAI Proactivo;1/01/2024;Tecnología;10; $ 2.550.104 
ABAI Proactivo;1/02/2024;Tecnología;22; $ 5.706.263 
ABAI Proactivo;1/03/2024;Tecnología;18; $ 4.787.194 
ABAI Proactivo;1/04/2024;Tecnología;16; $ 4.109.825 
ABAI Proactivo;1/05/2024;Tecnología;12; $ 3.236.515 
ABAI Proactivo;1/06/2024;Tecnología;10; $ 2.681.817 
ABAI Proactivo;1/07/2024;Tecnología;7; $ 1.712.400 
ABAI Proactivo;1/08/2024;Tecnología;4; $ 1.000.000 
ABAI Proactivo;1/09/2024;Tecnología;4; $ 1.130.594 
ABAI Proactivo;1/10/2024;Tecnología;4; $ 1.080.000 
ABAI Proactivo;1/11/2024;Tecnología;5; $ 1.200.000 
ABAI Proactivo;1/12/2024;Tecnología;5; $ 1.400.000 
ABAI Proactivo;1/01/2024;Terminales;0; $ -   
ABAI Proactivo;1/02/2024;Terminales;0; $ -   
ABAI Proactivo;1/03/2024;Terminales;0; $ -   
ABAI Proactivo;1/04/2024;Terminales;0; $ -   
ABAI Proactivo;1/05/2024;Terminales;0; $ -   
ABAI Proactivo;1/06/2024;Terminales;0; $ -   
ABAI Proactivo;1/07/2024;Terminales;0; $ -   
ABAI Proactivo;1/09/2024;Terminales;1; $ 1.200.000 
ABAI Proactivo;1/10/2024;Terminales;1; $ 1.200.000 
ABAI Proactivo;1/11/2024;Terminales;1; $ 1.600.000 
ABAI Proactivo;1/12/2024;Terminales;3; $ 3.600.000 
ABAI Proactivo;1/01/2024;UG Fijo;48; $ 771.595 
ABAI Proactivo;1/02/2024;UG Fijo;108; $ 1.729.200 
ABAI Proactivo;1/03/2024;UG Fijo;91; $ 1.456.000 
ABAI Proactivo;1/04/2024;UG Fijo;97; $ 1.556.280 
ABAI Proactivo;1/05/2024;UG Fijo;76; $ 1.646.198 
ABAI Proactivo;1/06/2024;UG Fijo;76; $ 1.646.198 
ABAI Proactivo;1/07/2024;UG Fijo;55; $ 691.680 
ABAI Proactivo;1/08/2024;UG Fijo;55; $ 691.680 
ABAI Proactivo;1/09/2024;UG Fijo;55; $ 691.680 
ABAI Proactivo;1/10/2024;UG Fijo;55; $ 880.000 
ABAI Proactivo;1/11/2024;UG Fijo;55; $ 880.000 
ABAI Proactivo;1/12/2024;UG Fijo;55; $ 880.000 
ABAI Proactivo;1/03/2024;UG Móvil;1234; $ 12.600.000 
ABAI Proactivo;1/04/2024;UG Móvil;1322; $ 13.500.000 
ABAI Proactivo;1/05/2024;UG Móvil;1028; $ 10.500.000 
ABAI Proactivo;1/06/2024;UG Móvil;1028; $ 10.500.000 
ABAI Proactivo;1/07/2024;UG Móvil;588; $ 6.000.000 
ABAI Proactivo;1/08/2024;UG Móvil;588; $ 6.000.000 
ABAI Proactivo;1/09/2024;UG Móvil;588; $ 6.000.000 
ABAI Proactivo;1/10/2024;UG Móvil;588; $ 6.000.000 
ABAI Proactivo;1/11/2024;UG Móvil;588; $ 6.000.000 
ABAI Proactivo;1/12/2024;UG Móvil;588; $ 6.000.000 
ABAI Proactivo;1/01/2024;Ultra WiFi;153; $ 22.950.932 
ABAI Proactivo;1/02/2024;Ultra WiFi;343; $ 51.356.367 
ABAI Proactivo;1/03/2024;Ultra WiFi;288; $ 43.084.749 
ABAI Proactivo;1/04/2024;Ultra WiFi;247; $ 36.988.425 
ABAI Proactivo;1/05/2024;Ultra WiFi;195; $ 29.128.636 
ABAI Proactivo;1/06/2024;Ultra WiFi;161; $ 24.136.356 
ABAI Proactivo;1/07/2024;Ultra WiFi;103; $ 15.411.600 
ABAI Proactivo;1/08/2024;Ultra WiFi;60; $ 9.000.000 
ABAI Proactivo;1/09/2024;Ultra WiFi;62; $ 10.175.343 
ABAI Proactivo;1/10/2024;Ultra WiFi;59; $ 9.720.000 
ABAI Proactivo;1/11/2024;Ultra WiFi;66; $ 10.800.000 
ABAI Proactivo;1/12/2024;Ultra WiFi;76; $ 12.600.000 
ABAI Relaciones Prioritarias;1/03/2024;Convergencia Móvil;2; $ -   
ABAI Relaciones Prioritarias;1/03/2024;Línea Nueva;0; $ -   
ABAI Relaciones Prioritarias;1/03/2024;Migraciones;7; $ 234.640 
ABAI Relaciones Prioritarias;1/03/2024;Portabilidad Pospago;8; $ 268.160 
ABAI Relaciones Prioritarias;1/03/2024;UG Móvil;0; $ -   
ABAI Segundo Anillo;1/01/2024;Adicionales;313; $ 5.453.399 
ABAI Segundo Anillo;1/02/2024;Adicionales;196; $ 3.414.908 
ABAI Segundo Anillo;1/03/2024;Adicionales;150; $ 2.613.450 
ABAI Segundo Anillo;1/04/2024;Adicionales;152; $ 2.648.296 
ABAI Segundo Anillo;1/05/2024;Adicionales;175; $ 3.049.025 
ABAI Segundo Anillo;1/06/2024;Adicionales;195; $ 3.397.485 
ABAI Segundo Anillo;1/07/2024;Adicionales;550; $ 9.582.650 
ABAI Segundo Anillo;1/08/2024;Adicionales;201; $ 3.502.023 
ABAI Segundo Anillo;1/09/2024;Adicionales;211; $ 3.676.253 
ABAI Segundo Anillo;1/10/2024;Adicionales;231; $ 4.024.713 
ABAI Segundo Anillo;1/11/2024;Adicionales;178; $ 3.101.294 
ABAI Segundo Anillo;1/12/2024;Adicionales;181; $ 3.153.563 
ABAI Segundo Anillo;1/01/2024;Convergencia Fijo;8; $ -   
ABAI Segundo Anillo;1/02/2024;Convergencia Fijo;5; $ -   
ABAI Segundo Anillo;1/03/2024;Convergencia Fijo;5; $ -   
ABAI Segundo Anillo;1/04/2024;Convergencia Fijo;6; $ -   
ABAI Segundo Anillo;1/05/2024;Convergencia Fijo;6; $ -   
ABAI Segundo Anillo;1/06/2024;Convergencia Fijo;5; $ -   
ABAI Segundo Anillo;1/07/2024;Convergencia Fijo;4; $ -   
ABAI Segundo Anillo;1/08/2024;Convergencia Fijo;4; $ -   
ABAI Segundo Anillo;1/09/2024;Convergencia Fijo;4; $ -   
ABAI Segundo Anillo;1/10/2024;Convergencia Fijo;5; $ -   
ABAI Segundo Anillo;1/11/2024;Convergencia Fijo;4; $ -   
ABAI Segundo Anillo;1/12/2024;Convergencia Fijo;4; $ -   
ABAI Segundo Anillo;1/02/2024;Convergencia Móvil;2; $ -   
ABAI Segundo Anillo;1/04/2024;Convergencia Móvil;2; $ -   
ABAI Segundo Anillo;1/05/2024;Convergencia Móvil;3; $ -   
ABAI Segundo Anillo;1/06/2024;Convergencia Móvil;1; $ -   
ABAI Segundo Anillo;1/07/2024;Convergencia Móvil;1; $ -   
ABAI Segundo Anillo;1/09/2024;Convergencia Móvil;1; $ -   
ABAI Segundo Anillo;1/10/2024;Convergencia Móvil;2; $ -   
ABAI Segundo Anillo;1/12/2024;Convergencia Móvil;0; $ -   
ABAI Segundo Anillo;1/11/2024;Convergencia Móvil;1; $ -   
ABAI Segundo Anillo;1/11/2024;Habilitador Internet;15; $ 1.433.028 
ABAI Segundo Anillo;1/12/2024;Habilitador Internet;15; $ -   
ABAI Segundo Anillo;1/02/2024;Línea Nueva;1; $ 33.520 
ABAI Segundo Anillo;1/04/2024;Línea Nueva;1; $ 33.520 
ABAI Segundo Anillo;1/05/2024;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/06/2024;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/07/2024;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/08/2024;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/09/2024;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/10/2024;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/11/2024;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/12/2024;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/02/2024;Migraciones;6; $ 201.120 
ABAI Segundo Anillo;1/04/2024;Migraciones;9; $ 301.680 
ABAI Segundo Anillo;1/05/2024;Migraciones;9; $ 301.680 
ABAI Segundo Anillo;1/06/2024;Migraciones;9; $ 301.680 
ABAI Segundo Anillo;1/07/2024;Migraciones;9; $ 301.680 
ABAI Segundo Anillo;1/08/2024;Migraciones;8; $ 268.160 
ABAI Segundo Anillo;1/09/2024;Migraciones;9; $ 301.680 
ABAI Segundo Anillo;1/10/2024;Migraciones;7; $ 234.640 
ABAI Segundo Anillo;1/11/2024;Migraciones;7; $ 234.640 
ABAI Segundo Anillo;1/12/2024;Migraciones;5; $ 167.600 
ABAI Segundo Anillo;1/02/2024;Portabilidad Pospago;6; $ 201.120 
ABAI Segundo Anillo;1/04/2024;Portabilidad Pospago;9; $ 301.680 
ABAI Segundo Anillo;1/05/2024;Portabilidad Pospago;9; $ 301.680 
ABAI Segundo Anillo;1/06/2024;Portabilidad Pospago;8; $ 268.160 
ABAI Segundo Anillo;1/07/2024;Portabilidad Pospago;9; $ 301.680 
ABAI Segundo Anillo;1/08/2024;Portabilidad Pospago;9; $ 301.680 
ABAI Segundo Anillo;1/09/2024;Portabilidad Pospago;8; $ 268.160 
ABAI Segundo Anillo;1/10/2024;Portabilidad Pospago;7; $ 234.640 
ABAI Segundo Anillo;1/11/2024;Portabilidad Pospago;7; $ 234.640 
ABAI Segundo Anillo;1/12/2024;Portabilidad Pospago;4; $ 134.080 
ABAI Segundo Anillo;1/01/2024;Servicios Fijo;66; $ 1.939.278 
ABAI Segundo Anillo;1/02/2024;Servicios Fijo;44; $ 1.292.852 
ABAI Segundo Anillo;1/03/2024;Servicios Fijo;37; $ 1.087.171 
ABAI Segundo Anillo;1/04/2024;Servicios Fijo;39; $ 1.145.937 
ABAI Segundo Anillo;1/05/2024;Servicios Fijo;39; $ 1.145.937 
ABAI Segundo Anillo;1/06/2024;Servicios Fijo;68; $ 1.998.044 
ABAI Segundo Anillo;1/07/2024;Servicios Fijo;80; $ 2.350.640 
ABAI Segundo Anillo;1/08/2024;Servicios Fijo;88; $ 2.585.704 
ABAI Segundo Anillo;1/09/2024;Servicios Fijo;88; $ 2.585.704 
ABAI Segundo Anillo;1/10/2024;Servicios Fijo;108; $ 3.173.364 
ABAI Segundo Anillo;1/11/2024;Servicios Fijo;106; $ 3.114.598 
ABAI Segundo Anillo;1/12/2024;Servicios Fijo;60; $ 1.762.980 
ABAI Segundo Anillo;1/01/2024;Tecnología;7; $ 1.790.855 
ABAI Segundo Anillo;1/02/2024;Tecnología;4; $ 913.002 
ABAI Segundo Anillo;1/03/2024;Tecnología;4; $ 1.094.216 
ABAI Segundo Anillo;1/04/2024;Tecnología;8; $ 2.191.907 
ABAI Segundo Anillo;1/05/2024;Tecnología;10; $ 2.589.212 
ABAI Segundo Anillo;1/06/2024;Tecnología;10; $ 2.673.454 
ABAI Segundo Anillo;1/07/2024;Tecnología;10; $ 2.673.454 
ABAI Segundo Anillo;1/08/2024;Tecnología;9; $ 2.366.384 
ABAI Segundo Anillo;1/09/2024;Tecnología;9; $ 2.366.384 
ABAI Segundo Anillo;1/10/2024;Tecnología;9; $ 2.320.237 
ABAI Segundo Anillo;1/11/2024;Tecnología;9; $ 2.320.237 
ABAI Segundo Anillo;1/12/2024;Tecnología;10; $ 2.640.000 
ABAI Segundo Anillo;1/01/2024;Terminales;0; $ -   
ABAI Segundo Anillo;1/02/2024;Terminales;0; $ -   
ABAI Segundo Anillo;1/03/2024;Terminales;2; $ 1.908.060 
ABAI Segundo Anillo;1/04/2024;Terminales;5; $ 5.940.858 
ABAI Segundo Anillo;1/05/2024;Terminales;6; $ 7.622.660 
ABAI Segundo Anillo;1/06/2024;Terminales;5; $ 6.320.123 
ABAI Segundo Anillo;1/07/2024;Terminales;6; $ 7.569.195 
ABAI Segundo Anillo;1/08/2024;Terminales;6; $ 7.766.880 
ABAI Segundo Anillo;1/09/2024;Terminales;6; $ 6.886.113 
ABAI Segundo Anillo;1/10/2024;Terminales;8; $ 10.012.767 
ABAI Segundo Anillo;1/11/2024;Terminales;8; $ 10.012.767 
ABAI Segundo Anillo;1/12/2024;Terminales;11; $ 13.360.000 
ABAI Segundo Anillo;1/01/2024;UG Fijo;73; $ 1.161.142 
ABAI Segundo Anillo;1/02/2024;UG Fijo;45; $ 719.347 
ABAI Segundo Anillo;1/03/2024;UG Fijo;45; $ 720.000 
ABAI Segundo Anillo;1/04/2024;UG Fijo;45; $ 719.347 
ABAI Segundo Anillo;1/05/2024;UG Fijo;45; $ 719.347 
ABAI Segundo Anillo;1/06/2024;UG Fijo;45; $ 719.347 
