CAMPAÑA FINAL;MES;BASE;Altas;Ingresos
BRM Masivo Medellín;1/01/2025;Línea Nueva;5; $ 167.600 
BRM Whatsapp;1/01/2025;Línea Nueva;3; $ 100.560 
COS Fidelización Bogotá;1/01/2025;Línea Nueva;0; $ -   
COS Masivo Bogotá;1/01/2025;Línea Nueva;7; $ 234.640 
COS Segundo Anillo;1/01/2025;Línea Nueva;0; $ -   
COS Whatsapp;1/01/2025;Línea Nueva;2; $ 67.040 
Millenium Masivo;1/01/2025;Línea Nueva;3; $ 100.560 
Millenium Web Center;1/01/2025;Línea Nueva;6; $ 201.120 
Nexa Masivo;1/01/2025;Línea Nueva;2; $ 67.040 
ABAI Masivo;1/01/2025;Migraciones;180; $ 6.033.600 
ABAI Proactivo;1/01/2025;Migraciones;0; $ -   
ABAI Segundo Anillo;1/01/2025;Migraciones;7; $ 234.640 
ABAI Whatsapp;1/01/2025;Migraciones;55; $ 1.843.600 
Almacontact Swat;1/01/2025;Migraciones;55; $ 1.843.600 
AQI  Segundo Anillo;1/01/2025;Migraciones;7; $ 234.640 
AQI Masivo Barranquilla;1/01/2025;Migraciones;107; $ 3.586.640 
AQI Whatsapp;1/01/2025;Migraciones;31; $ 1.039.120 
Atento  Segundo Anillo;1/01/2025;Migraciones;11; $ 368.720 
Atento Proactivo;1/01/2025;Migraciones;0; $ -   
Atento Swat Bogotá;1/01/2025;Migraciones;63; $ 2.111.760 
Atento Traslados Pereira;1/01/2025;Migraciones;39; $ 1.307.280 
BRM Filtro;1/01/2025;Migraciones;55; $ 1.843.600 
BRM Masivo Medellín;1/01/2025;Migraciones;129; $ 4.324.080 
BRM Whatsapp;1/01/2025;Migraciones;69; $ 2.312.880 
COS Fidelización Bogotá;1/01/2025;Migraciones;0; $ -   
COS Masivo Bogotá;1/01/2025;Migraciones;180; $ 6.033.600 
COS Segundo Anillo;1/01/2025;Migraciones;11; $ 368.720 
COS Whatsapp;1/01/2025;Migraciones;49; $ 1.642.480 
Millenium Masivo;1/01/2025;Migraciones;65; $ 2.178.800 
Millenium Web Center;1/01/2025;Migraciones;136; $ 4.558.720 
Nexa Masivo;1/01/2025;Migraciones;57; $ 1.910.640 
ABAI Masivo;1/01/2025;Portabilidad Pospago;104; $ 3.486.080 
ABAI Proactivo;1/01/2025;Portabilidad Pospago;0; $ -   
ABAI Segundo Anillo;1/01/2025;Portabilidad Pospago;4; $ 134.080 
ABAI Whatsapp;1/01/2025;Portabilidad Pospago;32; $ 1.072.640 
Almacontact Swat;1/01/2025;Portabilidad Pospago;32; $ 1.072.640 
AQI  Segundo Anillo;1/01/2025;Portabilidad Pospago;4; $ 134.080 
AQI Masivo Barranquilla;1/01/2025;Portabilidad Pospago;62; $ 2.078.240 
AQI Whatsapp;1/01/2025;Portabilidad Pospago;18; $ 603.360 
Atento  Segundo Anillo;1/01/2025;Portabilidad Pospago;6; $ 201.120 
Atento Proactivo;1/01/2025;Portabilidad Pospago;0; $ -   
Atento Swat Bogotá;1/01/2025;Portabilidad Pospago;36; $ 1.206.720 
Atento Traslados Pereira;1/01/2025;Portabilidad Pospago;23; $ 770.960 
BRM Filtro;1/01/2025;Portabilidad Pospago;32; $ 1.072.640 
BRM Masivo Medellín;1/01/2025;Portabilidad Pospago;75; $ 2.514.000 
BRM Whatsapp;1/01/2025;Portabilidad Pospago;40; $ 1.340.800 
COS Fidelización Bogotá;1/01/2025;Portabilidad Pospago;0; $ -   
COS Masivo Bogotá;1/01/2025;Portabilidad Pospago;103; $ 3.452.560 
COS Segundo Anillo;1/01/2025;Portabilidad Pospago;6; $ 201.120 
COS Whatsapp;1/01/2025;Portabilidad Pospago;28; $ 938.560 
Millenium Masivo;1/01/2025;Portabilidad Pospago;37; $ 1.240.240 
Millenium Web Center;1/01/2025;Portabilidad Pospago;78; $ 2.614.560 
Nexa Masivo;1/01/2025;Portabilidad Pospago;33; $ 1.106.160 
ABAI Masivo;1/01/2025;Servicios Fijo;199; $ 11.018.625 
ABAI Proactivo;1/01/2025;Servicios Fijo;47; $ 1.762.980 
ABAI Segundo Anillo;1/01/2025;Servicios Fijo;59; $ 2.144.959 
ABAI Whatsapp;1/01/2025;Servicios Fijo;100; $ 3.320.279 
Almacontact Swat;1/01/2025;Servicios Fijo;250; $ 10.284.050 
AQI  Segundo Anillo;1/01/2025;Servicios Fijo;59; $ 2.144.959 
AQI Masivo Barranquilla;1/01/2025;Servicios Fijo;120; $ 6.611.175 
AQI Whatsapp;1/01/2025;Servicios Fijo;56; $ 1.851.129 
Atento  Segundo Anillo;1/01/2025;Servicios Fijo;89; $ 3.202.747 
Atento Proactivo;1/01/2025;Servicios Fijo;117; $ 4.407.450 
Atento Swat Bogotá;1/01/2025;Servicios Fijo;286; $ 11.753.200 
Atento Traslados Pereira;1/01/2025;Servicios Fijo;178; $ 7.345.750 
BRM Filtro;1/01/2025;Servicios Fijo;442; $ 15.954.969 
BRM Masivo Medellín;1/01/2025;Servicios Fijo;144; $ 7.933.410 
BRM Whatsapp;1/01/2025;Servicios Fijo;127; $ 4.201.769 
COS Fidelización Bogotá;1/01/2025;Servicios Fijo;70; $ 2.644.470 
COS Masivo Bogotá;1/01/2025;Servicios Fijo;199; $ 11.018.625 
COS Segundo Anillo;1/01/2025;Servicios Fijo;89; $ 3.202.747 
COS Whatsapp;1/01/2025;Servicios Fijo;90; $ 2.967.683 
Millenium Masivo;1/01/2025;Servicios Fijo;72; $ 3.966.705 
Millenium Web Center;1/01/2025;Servicios Fijo;249; $ 8.227.240 
Nexa Masivo;1/01/2025;Servicios Fijo;64; $ 3.525.960 
ABAI Masivo;1/01/2025;Tecnología;48; $ 12.411.669 
ABAI Proactivo;1/01/2025;Tecnología;6; $ 1.654.889 
ABAI Segundo Anillo;1/01/2025;Tecnología;11; $ 2.885.956 
ABAI Whatsapp;1/01/2025;Tecnología;9; $ 2.211.759 
Almacontact Swat;1/01/2025;Tecnología;38; $ 9.876.398 
AQI  Segundo Anillo;1/01/2025;Tecnología;11; $ 2.885.956 
AQI Masivo Barranquilla;1/01/2025;Tecnología;29; $ 7.447.001 
AQI Whatsapp;1/01/2025;Tecnología;5; $ 1.228.755 
Atento  Segundo Anillo;1/01/2025;Tecnología;17; $ 4.328.934 
Atento Proactivo;1/01/2025;Tecnología;16; $ 4.137.223 
Atento Swat Bogotá;1/01/2025;Tecnología;184; $ 47.845.340 
Atento Traslados Pereira;1/01/2025;Tecnología;112; $ 29.159.945 
BRM Filtro;1/01/2025;Tecnología;83; $ 21.644.668 
BRM Masivo Medellín;1/01/2025;Tecnología;34; $ 8.936.402 
BRM Whatsapp;1/01/2025;Tecnología;11; $ 2.785.179 
COS Fidelización Bogotá;1/01/2025;Tecnología;10; $ 2.482.334 
COS Masivo Bogotá;1/01/2025;Tecnología;48; $ 12.411.669 
COS Segundo Anillo;1/01/2025;Tecnología;17; $ 4.328.934 
COS Whatsapp;1/01/2025;Tecnología;8; $ 1.966.008 
Millenium Masivo;1/01/2025;Tecnología;17; $ 4.468.201 
Millenium Web Center;1/01/2025;Tecnología;21; $ 5.461.134 
Nexa Masivo;1/01/2025;Tecnología;15; $ 3.971.734 
ABAI Masivo;1/01/2025;Terminales;3; $ 147.500.000 
ABAI Proactivo;1/01/2025;Terminales;123; $ 3.600.000 
ABAI Segundo Anillo;1/01/2025;Terminales;11; $ 13.360.000 
ABAI Whatsapp;1/01/2025;Terminales;19; $ 22.680.000 
Almacontact Swat;1/01/2025;Terminales;6; $ 6.738.808 
AQI  Segundo Anillo;1/01/2025;Terminales;11; $ 13.360.000 
AQI Masivo Barranquilla;1/01/2025;Terminales;74; $ 88.500.000 
AQI Whatsapp;1/01/2025;Terminales;11; $ 12.600.000 
Atento  Segundo Anillo;1/01/2025;Terminales;17; $ 20.040.000 
Atento Proactivo;1/01/2025;Terminales;8; $ 9.000.000 
Atento Swat Bogotá;1/01/2025;Terminales;9; $ 11.173.067 
Atento Traslados Pereira;1/01/2025;Terminales;24; $ 6.471.022 
BRM Filtro;1/01/2025;Terminales;84; $ 100.200.000 
BRM Masivo Medellín;1/01/2025;Terminales;5; $ 106.200.000 
BRM Whatsapp;1/01/2025;Terminales;5; $ 28.560.000 
COS Fidelización Bogotá;1/01/2025;Terminales;17; $ 5.400.000 
COS Masivo Bogotá;1/01/2025;Terminales;44; $ 147.500.000 
COS Segundo Anillo;1/01/2025;Terminales;17; $ 20.040.000 
COS Whatsapp;1/01/2025;Terminales;47; $ 20.160.000 
Millenium Masivo;1/01/2025;Terminales;39; $ 53.100.000 
Millenium Web Center;1/01/2025;Terminales;89; $ 56.000.000 
Nexa Masivo;1/01/2025;Terminales;123; $ 47.200.000 
ABAI Masivo;1/01/2025;UG Fijo;446; $ 7.140.000 
ABAI Proactivo;1/01/2025;UG Fijo;55; $ 880.000 
ABAI Segundo Anillo;1/01/2025;UG Fijo;45; $ 719.360 
ABAI Whatsapp;1/01/2025;UG Fijo;33; $ 520.992 
Almacontact Swat;1/01/2025;UG Fijo;525; $ 8.400.000 
AQI  Segundo Anillo;1/01/2025;UG Fijo;45; $ 719.360 
AQI Masivo Barranquilla;1/01/2025;UG Fijo;268; $ 4.284.000 
AQI Whatsapp;1/01/2025;UG Fijo;18; $ 289.440 
Atento  Segundo Anillo;1/01/2025;UG Fijo;67; $ 1.079.040 
Atento Proactivo;1/01/2025;UG Fijo;138; $ 2.200.000 
Atento Swat Bogotá;1/01/2025;UG Fijo;600; $ 9.600.000 
Atento Traslados Pereira;1/01/2025;UG Fijo;375; $ 6.000.000 
BRM Filtro;1/01/2025;UG Fijo;337; $ 5.395.200 
BRM Masivo Medellín;1/01/2025;UG Fijo;321; $ 5.140.800 
BRM Whatsapp;1/01/2025;UG Fijo;41; $ 656.064 
COS Fidelización Bogotá;1/01/2025;UG Fijo;82; $ 1.320.000 
COS Masivo Bogotá;1/01/2025;UG Fijo;446; $ 7.140.000 
COS Segundo Anillo;1/01/2025;UG Fijo;67; $ 1.079.040 
COS Whatsapp;1/01/2025;UG Fijo;29; $ 463.104 
Millenium Masivo;1/01/2025;UG Fijo;161; $ 2.570.400 
Millenium Web Center;1/01/2025;UG Fijo;80; $ 1.286.400 
Nexa Masivo;1/01/2025;UG Fijo;143; $ 2.284.800 
ABAI Masivo;1/01/2025;UG Móvil;514; $ 5.250.000 
ABAI Proactivo;1/01/2025;UG Móvil;588; $ 6.000.000 
ABAI Segundo Anillo;1/01/2025;UG Móvil;0; $ -   
ABAI Whatsapp;1/01/2025;UG Móvil;48; $ 486.000 
Almacontact Swat;1/01/2025;UG Móvil;34; $ 350.000 
AQI  Segundo Anillo;1/01/2025;UG Móvil;0; $ -   
AQI Masivo Barranquilla;1/01/2025;UG Móvil;308; $ 3.150.000 
AQI Whatsapp;1/01/2025;UG Móvil;26; $ 270.000 
Atento  Segundo Anillo;1/01/2025;UG Móvil;0; $ -   
Atento Proactivo;1/01/2025;UG Móvil;1469; $ 15.000.000 
Atento Swat Bogotá;1/01/2025;UG Móvil;39; $ 400.000 
Atento Traslados Pereira;1/01/2025;UG Móvil;24; $ 250.000 
BRM Filtro;1/01/2025;UG Móvil;0; $ -   
BRM Masivo Medellín;1/01/2025;UG Móvil;370; $ 3.780.000 
BRM Whatsapp;1/01/2025;UG Móvil;60; $ 612.000 
COS Fidelización Bogotá;1/01/2025;UG Móvil;881; $ 9.000.000 
COS Masivo Bogotá;1/01/2025;UG Móvil;514; $ 5.250.000 
COS Segundo Anillo;1/01/2025;UG Móvil;0; $ -   
COS Whatsapp;1/01/2025;UG Móvil;42; $ 432.000 
Millenium Masivo;1/01/2025;UG Móvil;185; $ 1.890.000 
Millenium Web Center;1/01/2025;UG Móvil;118; $ 1.200.000 
Nexa Masivo;1/01/2025;UG Móvil;165; $ 1.680.000 
ABAI Masivo;1/01/2025;Ultra WiFi;1357; $ 223.784.993 
ABAI Proactivo;1/01/2025;Ultra WiFi;181; $ 29.837.999 
ABAI Segundo Anillo;1/01/2025;Ultra WiFi;316; $ 52.034.387 
ABAI Whatsapp;1/01/2025;Ultra WiFi;242; $ 39.878.486 
Almacontact Swat;1/01/2025;Ultra WiFi;1080; $ 178.073.525 
AQI  Segundo Anillo;1/01/2025;Ultra WiFi;316; $ 52.034.387 
AQI Masivo Barranquilla;1/01/2025;Ultra WiFi;814; $ 134.270.996 
AQI Whatsapp;1/01/2025;Ultra WiFi;134; $ 22.154.714 
Atento  Segundo Anillo;1/01/2025;Ultra WiFi;473; $ 78.051.581 
Atento Proactivo;1/01/2025;Ultra WiFi;452; $ 74.594.998 
Atento Swat Bogotá;1/01/2025;Ultra WiFi;5232; $ 862.661.502 
Atento Traslados Pereira;1/01/2025;Ultra WiFi;3189; $ 525.759.923 
BRM Filtro;1/01/2025;Ultra WiFi;2367; $ 390.257.906 
BRM Masivo Medellín;1/01/2025;Ultra WiFi;977; $ 161.125.195 
BRM Whatsapp;1/01/2025;Ultra WiFi;305; $ 50.217.352 
COS Fidelización Bogotá;1/01/2025;Ultra WiFi;271; $ 44.756.999 
COS Masivo Bogotá;1/01/2025;Ultra WiFi;1357; $ 223.784.993 
COS Segundo Anillo;1/01/2025;Ultra WiFi;473; $ 78.051.581 
COS Whatsapp;1/01/2025;Ultra WiFi;215; $ 35.447.543 
Millenium Masivo;1/01/2025;Ultra WiFi;489; $ 80.562.597 
Millenium Web Center;1/01/2025;Ultra WiFi;597; $ 98.465.397 
Nexa Masivo;1/01/2025;Ultra WiFi;434; $ 71.611.198 
ABAI Masivo;1/02/2025;Adicionales;1544; $ 26.901.112 
ABAI Proactivo;1/02/2025;Adicionales;1140; $ 19.862.220 
ABAI Segundo Anillo;1/02/2025;Adicionales;636; $ 11.081.028 
Almacontact Swat;1/02/2025;Adicionales;1822; $ 31.744.706 
AQI  Segundo Anillo;1/02/2025;Adicionales;636; $ 11.081.028 
AQI Masivo Barranquilla;1/02/2025;Adicionales;1816; $ 31.640.168 
AQI Whatsapp;1/02/2025;Adicionales;783; $ 13.642.209 
Atento  Segundo Anillo;1/02/2025;Adicionales;955; $ 16.638.965 
Atento Proactivo;1/02/2025;Adicionales;2850; $ 49.655.550 
Atento Swat Bogotá;1/02/2025;Adicionales;2081; $ 36.257.263 
Atento Traslados Pereira;1/02/2025;Adicionales;1302; $ 22.684.746 
BRM Filtro;1/02/2025;Adicionales;4770; $ 83.107.710 
BRM Masivo Medellín;1/02/2025;Adicionales;1816; $ 31.640.168 
BRM Whatsapp;1/02/2025;Adicionales;783; $ 13.642.209 
COS Fidelización Bogotá;1/02/2025;Adicionales;1710; $ 29.793.330 
COS Masivo Bogotá;1/02/2025;Adicionales;2271; $ 39.567.633 
COS Segundo Anillo;1/02/2025;Adicionales;955; $ 16.638.965 
COS Whatsapp;1/02/2025;Adicionales;392; $ 6.829.816 
Millenium Masivo;1/02/2025;Adicionales;908; $ 15.820.084 
Millenium Web Center;1/02/2025;Adicionales;1952; $ 34.009.696 
Nexa Masivo;1/02/2025;Adicionales;727; $ 12.666.521 
ABAI Masivo;1/02/2025;Convergencia Móvil;15; $ -   
ABAI Proactivo;1/02/2025;Convergencia Móvil;0; $ -   
ABAI Segundo Anillo;1/02/2025;Convergencia Móvil;1; $ -   
Almacontact Swat;1/02/2025;Convergencia Móvil;6; $ -   
AQI  Segundo Anillo;1/02/2025;Convergencia Móvil;1; $ -   
AQI Masivo Barranquilla;1/02/2025;Convergencia Móvil;17; $ -   
AQI Whatsapp;1/02/2025;Convergencia Móvil;7; $ -   
Atento  Segundo Anillo;1/02/2025;Convergencia Móvil;2; $ -   
Atento Proactivo;1/02/2025;Convergencia Móvil;0; $ -   
Atento Swat Bogotá;1/02/2025;Convergencia Móvil;6; $ -   
Atento Traslados Pereira;1/02/2025;Convergencia Móvil;4; $ -   
BRM Filtro;1/02/2025;Convergencia Móvil;9; $ -   
BRM Masivo Medellín;1/02/2025;Convergencia Móvil;17; $ -   
BRM Whatsapp;1/02/2025;Convergencia Móvil;7; $ -   
COS Fidelización Bogotá;1/02/2025;Convergencia Móvil;0; $ -   
COS Masivo Bogotá;1/02/2025;Convergencia Móvil;21; $ -   
COS Segundo Anillo;1/02/2025;Convergencia Móvil;2; $ -   
COS Whatsapp;1/02/2025;Convergencia Móvil;4; $ -   
Millenium Masivo;1/02/2025;Convergencia Móvil;9; $ -   
Millenium Web Center;1/02/2025;Convergencia Móvil;19; $ -   
Nexa Masivo;1/02/2025;Convergencia Móvil;7; $ -   
ABAI Masivo;1/02/2025;Internet;120; $ 3.525.960 
ABAI Proactivo;1/02/2025;Internet;13; $ 381.979 
ABAI Segundo Anillo;1/02/2025;Internet;14; $ 411.362 
Almacontact Swat;1/02/2025;Internet;100; $ 2.938.300 
AQI  Segundo Anillo;1/02/2025;Internet;14; $ 411.362 
AQI Masivo Barranquilla;1/02/2025;Internet;141; $ 4.143.003 
AQI Whatsapp;1/02/2025;Internet;16; $ 470.128 
Atento  Segundo Anillo;1/02/2025;Internet;20; $ 587.660 
Atento Proactivo;1/02/2025;Internet;33; $ 969.639 
Atento Swat Bogotá;1/02/2025;Internet;115; $ 3.379.045 
Atento Traslados Pereira;1/02/2025;Internet;72; $ 2.115.576 
BRM Filtro;1/02/2025;Internet;102; $ 2.997.066 
BRM Masivo Medellín;1/02/2025;Internet;141; $ 4.143.003 
BRM Whatsapp;1/02/2025;Internet;16; $ 470.128 
COS Fidelización Bogotá;1/02/2025;Internet;20; $ 587.660 
COS Masivo Bogotá;1/02/2025;Internet;176; $ 5.171.408 
COS Segundo Anillo;1/02/2025;Internet;20; $ 587.660 
COS Whatsapp;1/02/2025;Internet;8; $ 235.064 
Millenium Masivo;1/02/2025;Internet;70; $ 2.056.810 
Millenium Web Center;1/02/2025;Internet;38; $ 1.116.554 
Nexa Masivo;1/02/2025;Internet;56; $ 1.645.448 
ABAI Masivo;1/02/2025;Línea Nueva;5; $ 167.600 
ABAI Proactivo;1/02/2025;Línea Nueva;0; $ -   
ABAI Segundo Anillo;1/02/2025;Línea Nueva;1; $ 33.520 
Almacontact Swat;1/02/2025;Línea Nueva;1; $ 33.520 
AQI  Segundo Anillo;1/02/2025;Línea Nueva;1; $ 33.520 
AQI Masivo Barranquilla;1/02/2025;Línea Nueva;6; $ 201.120 
AQI Whatsapp;1/02/2025;Línea Nueva;3; $ 100.560 
Atento  Segundo Anillo;1/02/2025;Línea Nueva;1; $ 33.520 
Atento Proactivo;1/02/2025;Línea Nueva;0; $ -   
Atento Swat Bogotá;1/02/2025;Línea Nueva;1; $ 33.520 
Atento Traslados Pereira;1/02/2025;Línea Nueva;1; $ 33.520 
BRM Filtro;1/02/2025;Línea Nueva;2; $ 67.040 
BRM Masivo Medellín;1/02/2025;Línea Nueva;6; $ 201.120 
BRM Whatsapp;1/02/2025;Línea Nueva;2; $ 67.040 
COS Fidelización Bogotá;1/02/2025;Línea Nueva;0; $ -   
COS Masivo Bogotá;1/02/2025;Línea Nueva;7; $ 234.640 
COS Segundo Anillo;1/02/2025;Línea Nueva;1; $ 33.520 
COS Whatsapp;1/02/2025;Línea Nueva;1; $ 33.520 
Millenium Masivo;1/02/2025;Línea Nueva;3; $ 100.560 
Millenium Web Center;1/02/2025;Línea Nueva;7; $ 234.640 
Nexa Masivo;1/02/2025;Línea Nueva;2; $ 67.040 
ABAI Masivo;1/02/2025;Migraciones;130; $ 4.357.600 
ABAI Proactivo;1/02/2025;Migraciones;0; $ -   
ABAI Segundo Anillo;1/02/2025;Migraciones;10; $ 335.200 
Almacontact Swat;1/02/2025;Migraciones;38; $ 1.273.760 
AQI  Segundo Anillo;1/02/2025;Migraciones;10; $ 335.200 
AQI Masivo Barranquilla;1/02/2025;Migraciones;153; $ 5.128.560 
AQI Whatsapp;1/02/2025;Migraciones;48; $ 1.608.960 
Atento  Segundo Anillo;1/02/2025;Migraciones;14; $ 469.280 
Atento Proactivo;1/02/2025;Migraciones;0; $ -   
Atento Swat Bogotá;1/02/2025;Migraciones;44; $ 1.474.880 
Atento Traslados Pereira;1/02/2025;Migraciones;27; $ 905.040 
BRM Filtro;1/02/2025;Migraciones;72; $ 2.413.440 
BRM Masivo Medellín;1/02/2025;Migraciones;153; $ 5.128.560 
BRM Whatsapp;1/02/2025;Migraciones;48; $ 1.608.960 
COS Fidelización Bogotá;1/02/2025;Migraciones;0; $ -   
COS Masivo Bogotá;1/02/2025;Migraciones;191; $ 6.402.320 
COS Segundo Anillo;1/02/2025;Migraciones;14; $ 469.280 
COS Whatsapp;1/02/2025;Migraciones;25; $ 838.000 
Millenium Masivo;1/02/2025;Migraciones;77; $ 2.581.040 
Millenium Web Center;1/02/2025;Migraciones;120; $ 4.022.400 
Nexa Masivo;1/02/2025;Migraciones;61; $ 2.044.720 
ABAI Masivo;1/02/2025;Portabilidad Pospago;72; $ 2.413.440 
ABAI Proactivo;1/02/2025;Portabilidad Pospago;0; $ -   
ABAI Segundo Anillo;1/02/2025;Portabilidad Pospago;5; $ 167.600 
Almacontact Swat;1/02/2025;Portabilidad Pospago;9; $ 301.680 
AQI  Segundo Anillo;1/02/2025;Portabilidad Pospago;5; $ 167.600 
AQI Masivo Barranquilla;1/02/2025;Portabilidad Pospago;85; $ 2.849.200 
AQI Whatsapp;1/02/2025;Portabilidad Pospago;40; $ 1.340.800 
Atento  Segundo Anillo;1/02/2025;Portabilidad Pospago;8; $ 268.160 
Atento Proactivo;1/02/2025;Portabilidad Pospago;0; $ -   
Atento Swat Bogotá;1/02/2025;Portabilidad Pospago;10; $ 335.200 
Atento Traslados Pereira;1/02/2025;Portabilidad Pospago;6; $ 201.120 
BRM Filtro;1/02/2025;Portabilidad Pospago;39; $ 1.307.280 
BRM Masivo Medellín;1/02/2025;Portabilidad Pospago;86; $ 2.882.720 
BRM Whatsapp;1/02/2025;Portabilidad Pospago;39; $ 1.307.280 
COS Fidelización Bogotá;1/02/2025;Portabilidad Pospago;0; $ -   
COS Masivo Bogotá;1/02/2025;Portabilidad Pospago;106; $ 3.553.120 
COS Segundo Anillo;1/02/2025;Portabilidad Pospago;8; $ 268.160 
COS Whatsapp;1/02/2025;Portabilidad Pospago;19; $ 636.880 
Millenium Masivo;1/02/2025;Portabilidad Pospago;42; $ 1.407.840 
